epoch,timestamp,learning_rate,epoch_time_seconds,epoch_time_formatted,l2,phase,ipd,warp,warp_smooth,intermediate_l2,intermediate_phase,intermediate_ipd,accumulated_loss
34,2026-04-17 01:25:32,0.001,827.6736583709717,00:13:47,0.00025938349426724017,1.1525969505310059,0.6421784162521362,8.973607327789068e-05,6.02527527870933e-10,0.0004047949332743883,1.2851582765579224,0.6943050622940063,0.16475726664066315
35,2026-04-17 01:39:20,0.001,827.4510135650635,00:13:47,0.00025906678638421,1.1493879556655884,0.6381429433822632,8.970810449682176e-05,5.881652387351721e-10,0.00040394440293312073,1.2825849056243896,0.6904783844947815,0.16390164196491241
36,2026-04-17 01:53:08,0.001,827.8268568515778,00:13:47,0.0002583704481367022,1.147888422012329,0.6361151933670044,8.24993330752477e-05,5.291900251336301e-10,0.00040327341412194073,1.2807003259658813,0.6883849501609802,0.16343508660793304
37,2026-04-17 02:06:55,0.001,827.820925951004,00:13:47,0.0002593927492853254,1.1458792686462402,0.6327277421951294,7.816700235707685e-05,5.050918572280239e-10,0.00040309183532372117,1.2785996198654175,0.6855072379112244,0.16277143359184265
38,2026-04-17 02:20:45,0.001,829.3021717071533,00:13:49,0.00025942278443835676,1.1445070505142212,0.6308810710906982,7.750358781777322e-05,5.00655461532773e-10,0.00040278106462210417,1.2771855592727661,0.683313250541687,0.16233588755130768
39,2026-04-17 02:34:34,0.001,828.8895580768585,00:13:48,0.0002585113688837737,1.1438132524490356,0.6303024888038635,7.670369814150035e-05,4.958415344979983e-10,0.00040150407585315406,1.2763124704360962,0.6827631592750549,0.16218507289886475
40,2026-04-17 02:48:22,0.001,828.7839691638947,00:13:48,0.0002587219059932977,1.1430370807647705,0.6279467344284058,7.69787875469774e-05,4.787996665811534e-10,0.00040196769987232983,1.2752405405044556,0.6801525354385376,0.1616765260696411
41,2026-04-17 03:02:11,0.0005,828.5905442237854,00:13:48,0.0002590982767287642,1.1416230201721191,0.6260746717453003,7.90463454904966e-05,5.138783842895123e-10,0.00040198361966758966,1.2740808725357056,0.6790773272514343,0.1613619327545166
42,2026-04-17 03:16:00,0.0005,828.7458488941193,00:13:48,0.00024122183094732463,1.1361943483352661,0.6135694980621338,7.494141027564183e-05,4.779533990806328e-10,0.0003820519777946174,1.2652361392974854,0.665777325630188,0.15825684368610382
43,2026-04-17 03:29:48,0.0005,828.5132737159729,00:13:48,0.00023981746926438063,1.135167121887207,0.6132953763008118,7.293633825611323e-05,4.642223827566738e-10,0.000380854558898136,1.262627363204956,0.6641097068786621,0.15799808502197266
44,2026-04-17 03:43:37,0.0005,828.6001753807068,00:13:48,0.00023886465351097286,1.1343398094177246,0.6122928857803345,7.613483467139304e-05,5.042374295882723e-10,0.0003799580445047468,1.2613017559051514,0.6632014513015747,0.15777000784873962
45,2026-04-17 03:57:26,0.0005,828.83318567276,00:13:48,0.0002386402484262362,1.1334697008132935,0.6117405295372009,7.602824916830286e-05,5.21235776762552e-10,0.0003792314091697335,1.259922981262207,0.662358820438385,0.15759864449501038
46,2026-04-17 04:11:14,0.0005,828.6448533535004,00:13:48,0.0002385284606134519,1.1329383850097656,0.6111860275268555,7.551682938355953e-05,5.032974037533222e-10,0.0003791588533204049,1.25925612449646,0.6614170670509338,0.15743480622768402
47,2026-04-17 04:25:03,0.0005,828.6318910121918,00:13:48,0.00023864528338890523,1.1325277090072632,0.6104093194007874,7.526210538344458e-05,5.109617728926708e-10,0.0003785753797274083,1.2585258483886719,0.6598812341690063,0.15718714892864227
48,2026-04-17 04:38:52,0.0005,828.93123960495,00:13:48,0.0002383131650276482,1.1327977180480957,0.6105887293815613,7.510275463573635e-05,5.05824493401974e-10,0.0003776680678129196,1.2586650848388672,0.6591626405715942,0.1571245640516281
49,2026-04-17 04:52:41,0.0005,828.9571237564087,00:13:48,0.0002384948602411896,1.1319046020507812,0.6093379855155945,7.711523358011618e-05,5.242440925812275e-10,0.0003772829659283161,1.258073329925537,0.6586263179779053,0.156931072473526
50,2026-04-17 05:06:30,0.0005,829.0587813854218,00:13:49,0.00023826569668017328,1.131984829902649,0.6100917458534241,7.645664300071076e-05,5.335867303557507e-10,0.00037642233655788004,1.257800579071045,0.658804714679718,0.15701092779636383
51,2026-04-17 05:20:19,0.0005,828.8865783214569,00:13:48,0.00023763797071296722,1.1319671869277954,0.610055685043335,7.635592919541523e-05,5.361021626626439e-10,0.00037635903572663665,1.257140040397644,0.6582701802253723,0.15694016218185425
